Index,Occupation title (click on the occupation title to view its profile),Year,Employment,Average hourly wage,Industry average,Similar occupation average
616,"Construction and Extraction Occupations - Extraction Workers - Roustabouts, Oil and Gas",2021,34520,$21.51,$26.87,$24.95
617,Construction and Extraction Occupations - Extraction Workers - Helpers  Extraction Workers,2021,5980,$19.65,$26.87,$24.95
618,"Construction and Extraction Occupations - Extraction Workers - Extraction Workers, All Other",2021,5380,$24.50,$26.87,$24.95
619,"Installation, Maintenance, and Repair Occupations - First Line Supervisors of Mechanics, Installers, and Repairers - First Line Supervisors of Mechanics, Installers, and Repairers",2021,526240,$35.38,$25.66,$35.38
620,"Installation, Maintenance, and Repair Occupations - Electrical and Electronic Equipment Mechanics, Installers, and Repairers - Computer, Automated Teller, and Office Machine Repairers",2021,86420,$21.24,$25.66,$27.53
621,"Installation, Maintenance, and Repair Occupations - Electrical and Electronic Equipment Mechanics, Installers, and Repairers - Radio, Cellular, and Tower Equipment Installers and Repairers",2021,13700,$30.05,$25.66,$27.53
622,"Installation, Maintenance, and Repair Occupations - Electrical and Electronic Equipment Mechanics, Installers, and Repairers - Telecommunications Equipment Installers and Repairers, Except Line Installers",2021,172830,$29.02,$25.66,$27.53
623,"Installation, Maintenance, and Repair Occupations - Electrical and Electronic Equipment Mechanics, Installers, and Repairers - Avionics Technicians",2021,18910,$33.59,$25.66,$27.53
624,"Installation, Maintenance, and Repair Occupations - Electrical and Electronic Equipment Mechanics, Installers, and Repairers - Electric Motor, Power Tool, and Related Repairers",2021,15880,$23.43,$25.66,$27.53
625,"Installation, Maintenance, and Repair Occupations - Electrical and Electronic Equipment Mechanics, Installers, and Repairers - Electrical and Electronics Installers and Repairers, Transportation Equipment",2021,10710,$33.97,$25.66,$27.53
626,"Installation, Maintenance, and Repair Occupations - Electrical and Electronic Equipment Mechanics, Installers, and Repairers - Electrical and Electronics Repairers, Commercial and Industrial Equipment",2021,50780,$30.88,$25.66,$27.53
627,"Installation, Maintenance, and Repair Occupations - Electrical and Electronic Equipment Mechanics, Installers, and Repairers - Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",2021,22490,$42.13,$25.66,$27.53
628,"Installation, Maintenance, and Repair Occupations - Electrical and Electronic Equipment Mechanics, Installers, and Repairers - Electronic Equipment Installers and Repairers, Motor Vehicles",2021,9000,$21.01,$25.66,$27.53
629,"Installation, Maintenance, and Repair Occupations - Electrical and Electronic Equipment Mechanics, Installers, and Repairers - Audiovisual Equipment Installers and Repairers",2021,21540,$22.18,$25.66,$27.53
630,"Installation, Maintenance, and Repair Occupations - Electrical and Electronic Equipment Mechanics, Installers, and Repairers - Security and Fire Alarm Systems Installers",2021,77420,$25.08,$25.66,$27.53
631,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Aircraft Mechanics and Service Technicians",2021,125440,$33.40,$25.66,$24.23
632,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Automotive Body and Related Repairers",2021,137300,$24.36,$25.66,$24.23
633,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Automotive Glass Installers and Repairers",2021,16230,$19.56,$25.66,$24.23
634,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Automotive Service Technicians and Mechanics",2021,629780,$23.07,$25.66,$24.23
635,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Bus and Truck Mechanics and Diesel Engine Specialists",2021,261420,$25.49,$25.66,$24.23
636,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Farm Equipment Mechanics and Service Technicians",2021,35030,$22.71,$25.66,$24.23
637,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Mobile Heavy Equipment Mechanics, Except Engines",2021,145230,$27.54,$25.66,$24.23
638,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Rail Car Repairers",2021,22800,$29.04,$25.66,$24.23
639,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Motorboat Mechanics and Service Technicians",2021,23080,$22.43,$25.66,$24.23
640,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Motorcycle Mechanics",2021,15020,$20.18,$25.66,$24.23
641,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Outdoor Power Equipment and Other Small Engine Mechanics",2021,34700,$19.41,$25.66,$24.23
642,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Bicycle Repairers",2021,14760,$16.52,$25.66,$24.23
643,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Recreational Vehicle Service Technicians",2021,16030,$21.60,$25.66,$24.23
644,"Installation, Maintenance, and Repair Occupations - Vehicle and Mobile Equipment Mechanics, Installers, and Repairers - Tire Repairers and Changers",2021,93180,$15.63,$25.66,$24.23
645,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Mechanical Door Repairers",2021,23300,$21.88,$25.66,$24.39
646,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Control and Valve Installers and Repairers, Except Mechanical Door",2021,44870,$32.36,$25.66,$24.39
647,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2021,356960,$26.29,$25.66,$24.39
648,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Home Appliance Repairers",2021,28120,$21.80,$25.66,$24.39
649,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Industrial Machinery Mechanics",2021,373090,$28.26,$25.66,$24.39
650,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Maintenance Workers, Machinery",2021,57660,$25.75,$25.66,$24.39
651,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Millwrights",2021,39240,$29.45,$25.66,$24.39
652,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Refractory Materials Repairers, Except Brickmasons",2021,660,$26.33,$25.66,$24.39
653,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Electrical Power Line Installers and Repairers",2021,123940,$38.01,$25.66,$24.39
654,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Telecommunications Line Installers and Repairers",2021,101530,$29.93,$25.66,$24.39
655,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Camera and Photographic Equipment Repairers",2021,2340,$21.28,$25.66,$24.39
656,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Medical Equipment Repairers",2021,53400,$27.13,$25.66,$24.39
657,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Musical Instrument Repairers and Tuners",2021,5710,$19.11,$25.66,$24.39
658,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Watch and Clock Repairers",2021,1970,$21.86,$25.66,$24.39
659,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Precision Instrument and Equipment Repairers, All Other",2021,11110,$28.40,$25.66,$24.39
660,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Maintenance and Repair Workers, General",2021,1416740,$21.60,$25.66,$24.39
661,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Wind Turbine Service Technicians",2021,10100,$28.16,$25.66,$24.39
662,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Coin, Vending, and Amusement Machine Servicers and Repairers",2021,27540,$20.20,$25.66,$24.39
663,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Commercial Divers",2021,2670,$39.43,$25.66,$24.39
664,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Locksmiths and Safe Repairers",2021,15380,$22.98,$25.66,$24.39
665,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Manufactured Building and Mobile Home Installers",2021,3530,$17.23,$25.66,$24.39
666,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Riggers",2021,17980,$25.05,$25.66,$24.39
667,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Signal and Track Switch Repairers",2021,8090,$35.68,$25.66,$24.39
668,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Helpers  Installation, Maintenance, and Repair Workers",2021,88480,$16.87,$25.66,$24.39
669,"Installation, Maintenance, and Repair Occupations - Other Installation, Maintenance, and Repair Occupations - Installation, Maintenance, and Repair Workers, All Other",2021,164070,$21.82,$25.66,$24.39
670,Production Occupations - First Line Supervisors of Production and Operating Workers - First Line Supervisors of Production and Operating Workers,2021,629420,$32.37,$20.71,$32.37
671,"Production Occupations - Assemblers and Fabricators - Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2021,33320,$26.63,$20.71,$18.75
672,"Production Occupations - Assemblers and Fabricators - Coil Winders, Tapers, and Finishers",2021,11090,$20.41,$20.71,$18.75
673,"Production Occupations - Assemblers and Fabricators - Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",2021,271920,$19.05,$20.71,$18.75
674,Production Occupations - Assemblers and Fabricators - Engine and Other Machine Assemblers,2021,45990,$23.13,$20.71,$18.75
675,Production Occupations - Assemblers and Fabricators - Structural Metal Fabricators and Fitters,2021,61070,$21.99,$20.71,$18.75
676,Production Occupations - Assemblers and Fabricators - Fiberglass Laminators and Fabricators,2021,17380,$19.40,$20.71,$18.75
677,Production Occupations - Assemblers and Fabricators - Timing Device Assemblers and Adjusters,2021,560,$21.48,$20.71,$18.75
678,Production Occupations - Food Processing Workers - Bakers,2021,181800,$15.53,$20.71,$16.27
679,Production Occupations - Food Processing Workers - Butchers and Meat Cutters,2021,145930,$17.15,$20.71,$16.27
680,"Production Occupations - Food Processing Workers - Meat, Poultry, and Fish Cutters and Trimmers",2021,132100,$15.23,$20.71,$16.27
681,Production Occupations - Food Processing Workers - Slaughterers and Meat Packers,2021,86450,$15.39,$20.71,$16.27
682,"Production Occupations - Food Processing Workers - Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2021,21050,$17.44,$20.71,$16.27
683,Production Occupations - Food Processing Workers - Food Batchmakers,2021,155240,$17.40,$20.71,$16.27
684,Production Occupations - Food Processing Workers - Food Cooking Machine Operators and Tenders,2021,26710,$17.03,$20.71,$16.27
685,"Production Occupations - Food Processing Workers - Food Processing Workers, All Other",2021,46360,$16.16,$20.71,$16.27
686,"Production Occupations - Metal Workers and Plastic Workers - Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2021,59490,$19.48,$20.71,$21.56
687,"Production Occupations - Metal Workers and Plastic Workers - Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2021,11500,$21.35,$20.71,$21.56
688,"Production Occupations - Metal Workers and Plastic Workers - Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2021,31650,$22.22,$20.71,$21.56
689,"Production Occupations - Metal Workers and Plastic Workers - Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2021,179630,$19.23,$20.71,$21.56
690,"Production Occupations - Metal Workers and Plastic Workers - Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2021,6810,$20.79,$20.71,$21.56
691,"Production Occupations - Metal Workers and Plastic Workers - Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2021,67750,$19.25,$20.71,$21.56
692,"Production Occupations - Metal Workers and Plastic Workers - Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2021,19690,$21.28,$20.71,$21.56
693,"Production Occupations - Metal Workers and Plastic Workers - Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2021,14920,$22.64,$20.71,$21.56
694,Production Occupations - Metal Workers and Plastic Workers - Machinists,2021,333220,$23.57,$20.71,$21.56
695,Production Occupations - Metal Workers and Plastic Workers - Metal Refining Furnace Operators and Tenders,2021,15540,$22.33,$20.71,$21.56
696,"Production Occupations - Metal Workers and Plastic Workers - Pourers and Casters, Metal",2021,6570,$21.59,$20.71,$21.56
697,"Production Occupations - Metal Workers and Plastic Workers - Model Makers, Metal and Plastic",2021,3690,$28.40,$20.71,$21.56
698,"Production Occupations - Metal Workers and Plastic Workers - Patternmakers, Metal and Plastic",2021,2090,$23.96,$20.71,$21.56
699,Production Occupations - Metal Workers and Plastic Workers - Foundry Mold and Coremakers,2021,13610,$19.22,$20.71,$21.56
700,"Production Occupations - Metal Workers and Plastic Workers - Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",2021,163210,$18.04,$20.71,$21.56
701,"Production Occupations - Metal Workers and Plastic Workers - Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2021,134880,$19.63,$20.71,$21.56
702,Production Occupations - Metal Workers and Plastic Workers - Tool and Die Makers,2021,63630,$26.99,$20.71,$21.56
703,"Production Occupations - Metal Workers and Plastic Workers - Welders, Cutters, Solderers, and Brazers",2021,397600,$23.21,$20.71,$21.56
704,"Production Occupations - Metal Workers and Plastic Workers - Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2021,29980,$20.65,$20.71,$21.56
705,"Production Occupations - Metal Workers and Plastic Workers - Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",2021,14540,$19.98,$20.71,$21.56
706,"Production Occupations - Metal Workers and Plastic Workers - Layout Workers, Metal and Plastic",2021,6840,$25.16,$20.71,$21.56
707,"Production Occupations - Metal Workers and Plastic Workers - Plating Machine Setters, Operators, and Tenders, Metal and Plastic",2021,32310,$18.55,$20.71,$21.56
708,"Production Occupations - Metal Workers and Plastic Workers - Tool Grinders, Filers, and Sharpeners",2021,6100,$20.99,$20.71,$21.56
709,"Production Occupations - Metal Workers and Plastic Workers - Metal Workers and Plastic Workers, All Other",2021,18740,$18.98,$20.71,$21.56
710,Production Occupations - Metal Workers and Plastic Workers - Prepress Technicians and Workers,2021,25840,$21.06,$20.71,$21.56
711,Production Occupations - Metal Workers and Plastic Workers - Printing Press Operators,2021,145290,$19.77,$20.71,$21.56
712,Production Occupations - Metal Workers and Plastic Workers - Print Binding and Finishing Workers,2021,40810,$17.82,$20.71,$21.56
713,"Production Occupations - Textile, Apparel, and Furnishings Workers - Laundry and Dry Cleaning Workers",2021,157400,$13.38,$20.71,$15.00
714,"Production Occupations - Textile, Apparel, and Furnishings Workers - Pressers, Textile, Garment, and Related Materials",2021,26910,$13.52,$20.71,$15.00
715,"Production Occupations - Textile, Apparel, and Furnishings Workers - Sewing Machine Operators",2021,116220,$14.85,$20.71,$15.00
716,"Production Occupations - Textile, Apparel, and Furnishings Workers - Shoe and Leather Workers and Repairers",2021,5620,$16.77,$20.71,$15.00
717,"Production Occupations - Textile, Apparel, and Furnishings Workers - Shoe Machine Operators and Tenders",2021,3610,$14.38,$20.71,$15.00
718,"Production Occupations - Textile, Apparel, and Furnishings Workers - Sewers, Hand",2021,4170,$15.07,$20.71,$15.00
719,"Production Occupations - Textile, Apparel, and Furnishings Workers - Tailors, Dressmakers, and Custom Sewers",2021,17270,$17.03,$20.71,$15.00
720,"Production Occupations - Textile, Apparel, and Furnishings Workers - Textile Bleaching and Dyeing Machine Operators and Tenders",2021,6240,$15.36,$20.71,$15.00
721,"Production Occupations - Textile, Apparel, and Furnishings Workers - Textile Cutting Machine Setters, Operators, and Tenders",2021,11970,$15.91,$20.71,$15.00
722,"Production Occupations - Textile, Apparel, and Furnishings Workers - Textile Knitting and Weaving Machine Setters, Operators, and Tenders",2021,16330,$16.17,$20.71,$15.00
723,"Production Occupations - Textile, Apparel, and Furnishings Workers - Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",2021,22160,$15.89,$20.71,$15.00
724,"Production Occupations - Textile, Apparel, and Furnishings Workers - Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2021,14040,$19.52,$20.71,$15.00
725,"Production Occupations - Textile, Apparel, and Furnishings Workers - Fabric and Apparel Patternmakers",2021,3220,$30.81,$20.71,$15.00
726,"Production Occupations - Textile, Apparel, and Furnishings Workers - Upholsterers",2021,28020,$18.38,$20.71,$15.00
727,"Production Occupations - Textile, Apparel, and Furnishings Workers - Textile, Apparel, and Furnishings Workers, All Other",2021,12750,$15.79,$20.71,$15.00
728,Production Occupations - Woodworkers - Cabinetmakers and Bench Carpenters,2021,93070,$19.27,$20.71,$18.04
729,Production Occupations - Woodworkers - Furniture Finishers,2021,16300,$17.94,$20.71,$18.04
730,"Production Occupations - Woodworkers - Model Makers, Wood",2021,340,$28.87,$20.71,$18.04
731,"Production Occupations - Woodworkers - Patternmakers, Wood",2021,210,$24.53,$20.71,$18.04
732,"Production Occupations - Woodworkers - Sawing Machine Setters, Operators, and Tenders, Wood",2021,45350,$16.96,$20.71,$18.04
733,"Production Occupations - Woodworkers - Woodworking Machine Setters, Operators, and Tenders, Except Sawing",2021,67210,$17.10,$20.71,$18.04
734,"Production Occupations - Woodworkers - Woodworkers, All Other",2021,7910,$17.35,$20.71,$18.04
735,Production Occupations - Plant and System Operators - Nuclear Power Reactor Operators,2021,4820,$53.47,$20.71,$31.83
736,Production Occupations - Plant and System Operators - Power Distributors and Dispatchers,2021,9660,$45.92,$20.71,$31.83
737,Production Occupations - Plant and System Operators - Power Plant Operators,2021,28960,$40.26,$20.71,$31.83
738,Production Occupations - Plant and System Operators - Stationary Engineers and Boiler Operators,2021,29820,$33.90,$20.71,$31.83
739,Production Occupations - Plant and System Operators - Water and Wastewater Treatment Plant and System Operators,2021,121150,$25.15,$20.71,$31.83
740,Production Occupations - Plant and System Operators - Chemical Plant and System Operators,2021,21740,$33.18,$20.71,$31.83
741,Production Occupations - Plant and System Operators - Gas Plant Operators,2021,15110,$37.01,$20.71,$31.83
742,"Production Occupations - Plant and System Operators - Petroleum Pump System Operators, Refinery Operators, and Gaugers",2021,34230,$38.70,$20.71,$31.83
743,"Production Occupations - Plant and System Operators - Plant and System Operators, All Other",2021,15420,$26.67,$20.71,$31.83
744,Production Occupations - Other Production Occupations - Chemical Equipment Operators and Tenders,2021,106170,$25.22,$20.71,$20.11
745,"Production Occupations - Other Production Occupations - Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2021,48620,$22.62,$20.71,$20.11
746,"Production Occupations - Other Production Occupations - Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",2021,31800,$20.57,$20.71,$20.11
747,"Production Occupations - Other Production Occupations - Grinding and Polishing Workers, Hand",2021,15680,$17.30,$20.71,$20.11
748,"Production Occupations - Other Production Occupations - Mixing and Blending Machine Setters, Operators, and Tenders",2021,108440,$20.43,$20.71,$20.11
749,"Production Occupations - Other Production Occupations - Cutters and Trimmers, Hand",2021,7920,$16.51,$20.71,$20.11
750,"Production Occupations - Other Production Occupations - Cutting and Slicing Machine Setters, Operators, and Tenders",2021,55930,$19.23,$20.71,$20.11
751,"Production Occupations - Other Production Occupations - Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2021,56570,$19.25,$20.71,$20.11
752,"Production Occupations - Other Production Occupations - Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2021,14180,$21.11,$20.71,$20.11
753,"Production Occupations - Other Production Occupations - Inspectors, Testers, Sorters, Samplers, and Weighers",2021,551380,$21.54,$20.71,$20.11
754,Production Occupations - Other Production Occupations - Jewelers and Precious Stone and Metal Workers,2021,24350,$22.64,$20.71,$20.11
755,Production Occupations - Other Production Occupations - Dental Laboratory Technicians,2021,34150,$22.75,$20.71,$20.11
756,Production Occupations - Other Production Occupations - Medical Appliance Technicians,2021,15300,$22.27,$20.71,$20.11
757,Production Occupations - Other Production Occupations - Ophthalmic Laboratory Technicians,2021,18930,$18.71,$20.71,$20.11
758,Production Occupations - Other Production Occupations - Packaging and Filling Machine Operators and Tenders,2021,358640,$17.67,$20.71,$20.11
759,"Production Occupations - Other Production Occupations - Painting, Coating, and Decorating Workers",2021,11850,$18.39,$20.71,$20.11
760,"Production Occupations - Other Production Occupations - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2021,145410,$21.11,$20.71,$20.11
761,Production Occupations - Other Production Occupations - Semiconductor Processing Technicians,2021,24020,$22.07,$20.71,$20.11
762,Production Occupations - Other Production Occupations - Photographic Process Workers and Processing Machine Operators,2021,5740,$19.37,$20.71,$20.11
763,Production Occupations - Other Production Occupations - Computer Numerically Controlled Tool Operators,2021,157840,$22.23,$20.71,$20.11
764,Production Occupations - Other Production Occupations - Computer Numerically Controlled Tool Programmers,2021,25800,$29.98,$20.71,$20.11
765,Production Occupations - Other Production Occupations - Adhesive Bonding Machine Operators and Tenders,2021,12510,$18.55,$20.71,$20.11
766,"Production Occupations - Other Production Occupations - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2021,13580,$17.22,$20.71,$20.11
767,Production Occupations - Other Production Occupations - Cooling and Freezing Equipment Operators and Tenders,2021,7500,$20.63,$20.71,$20.11
768,Production Occupations - Other Production Occupations - Etchers and Engravers,2021,7110,$17.77,$20.71,$20.11
769,"Production Occupations - Other Production Occupations - Molders, Shapers, and Casters, Except Metal and Plastic",2021,38420,$18.76,$20.71,$20.11
770,"Production Occupations - Other Production Occupations - Paper Goods Machine Setters, Operators, and Tenders",2021,87480,$21.24,$20.71,$20.11
771,Production Occupations - Other Production Occupations - Tire Builders,2021,17240,$23.00,$20.71,$20.11
772,Production Occupations - Other Production Occupations - Helpers  Production Workers,2021,202860,$15.82,$20.71,$20.11
773,"Production Occupations - Other Production Occupations - Production Workers, All Other",2021,204500,$17.42,$20.71,$20.11
774,Transportation and Material Moving Occupations - Aircraft Cargo Handling Supervisors - Aircraft Cargo Handling Supervisors,2021,8590,$29.84,$19.88,$29.84
775,"Transportation and Material Moving Occupations - Aircraft Cargo Handling Supervisors - First Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",2021,549260,$28.16,$19.88,$29.84
776,"Transportation and Material Moving Occupations - Air Transportation Workers - Airline Pilots, Copilots, and Flight Engineers",2021,81310,NaN,$19.88,NaN
777,Transportation and Material Moving Occupations - Air Transportation Workers - Commercial Pilots,2021,42770,NaN,$19.88,NaN
778,Transportation and Material Moving Occupations - Air Transportation Workers - Air Traffic Controllers,2021,21230,$61.50,$19.88,NaN
779,Transportation and Material Moving Occupations - Air Transportation Workers - Airfield Operations Specialists,2021,12610,$26.13,$19.88,NaN
780,Transportation and Material Moving Occupations - Air Transportation Workers - Flight Attendants,2021,96900,NaN,$19.88,NaN
781,"Transportation and Material Moving Occupations - Motor Vehicle Operators - Ambulance Drivers and Attendants, Except Emergency Medical Technicians",2021,11710,$14.93,$19.88,$21.31
782,Transportation and Material Moving Occupations - Motor Vehicle Operators - Driver/Sales Workers,2021,477020,$15.37,$19.88,$21.31
783,Transportation and Material Moving Occupations - Motor Vehicle Operators - Heavy and Tractor Trailer Truck Drivers,2021,1903420,$24.20,$19.88,$21.31
784,Transportation and Material Moving Occupations - Motor Vehicle Operators - Light Truck Drivers,2021,1010040,$20.50,$19.88,$21.31
785,"Transportation and Material Moving Occupations - Motor Vehicle Operators - Bus Drivers, School",2021,361420,$18.63,$19.88,$21.31
786,"Transportation and Material Moving Occupations - Motor Vehicle Operators - Bus Drivers, Transit and Intercity",2021,145720,$24.67,$19.88,$21.31
787,Transportation and Material Moving Occupations - Motor Vehicle Operators - Shuttle Drivers and Chauffeurs,2021,175660,$15.66,$19.88,$21.31
788,Transportation and Material Moving Occupations - Motor Vehicle Operators - Taxi Drivers,2021,13950,$14.45,$19.88,$21.31
789,"Transportation and Material Moving Occupations - Motor Vehicle Operators - Motor Vehicle Operators, All Other",2021,48690,$17.51,$19.88,$21.31
790,Transportation and Material Moving Occupations - Rail Transportation Workers - Locomotive Engineers,2021,38980,$35.07,$19.88,$32.85
791,"Transportation and Material Moving Occupations - Rail Transportation Workers - Rail Yard Engineers, Dinkey Operators, and Hostlers",2021,4460,$27.92,$19.88,$32.85
792,"Transportation and Material Moving Occupations - Rail Transportation Workers - Railroad Brake, Signal, and Switch Operators and Locomotive Firers",2021,16200,$30.31,$19.88,$32.85
793,Transportation and Material Moving Occupations - Rail Transportation Workers - Railroad Conductors and Yardmasters,2021,48030,$32.21,$19.88,$32.85
794,Transportation and Material Moving Occupations - Rail Transportation Workers - Subway and Streetcar Operators,2021,10310,$34.38,$19.88,$32.85
795,"Transportation and Material Moving Occupations - Rail Transportation Workers - Rail Transportation Workers, All Other",2021,1140,$26.03,$19.88,$32.85
796,Transportation and Material Moving Occupations - Water Transportation Workers - Sailors and Marine Oilers,2021,26610,$27.79,$19.88,$38.84
797,"Transportation and Material Moving Occupations - Water Transportation Workers - Captains, Mates, and Pilots of Water Vessels",2021,33490,$47.27,$19.88,$38.84
798,Transportation and Material Moving Occupations - Water Transportation Workers - Motorboat Operators,2021,2740,$21.35,$19.88,$38.84
799,Transportation and Material Moving Occupations - Water Transportation Workers - Ship Engineers,2021,7650,$46.59,$19.88,$38.84
800,Transportation and Material Moving Occupations - Other Transportation Workers - Bridge and Lock Tenders,2021,4040,$21.52,$19.88,$17.26
801,Transportation and Material Moving Occupations - Other Transportation Workers - Parking Attendants,2021,91160,$14.04,$19.88,$17.26
802,Transportation and Material Moving Occupations - Other Transportation Workers - Automotive and Watercraft Service Attendants,2021,111480,$14.40,$19.88,$17.26
803,Transportation and Material Moving Occupations - Other Transportation Workers - Aircraft Service Attendants,2021,12170,$18.58,$19.88,$17.26
804,Transportation and Material Moving Occupations - Other Transportation Workers - Traffic Technicians,2021,7770,$25.58,$19.88,$17.26
805,Transportation and Material Moving Occupations - Other Transportation Workers - Transportation Inspectors,2021,25070,$37.32,$19.88,$17.26
806,Transportation and Material Moving Occupations - Other Transportation Workers - Passenger Attendants,2021,21240,$16.53,$19.88,$17.26
807,"Transportation and Material Moving Occupations - Other Transportation Workers - Transportation Workers, All Other",2021,13750,$19.23,$19.88,$17.26
808,Transportation and Material Moving Occupations - Material Moving Workers - Conveyor Operators and Tenders,2021,28650,$17.80,$19.88,$16.78
809,Transportation and Material Moving Occupations - Material Moving Workers - Crane and Tower Operators,2021,43400,$31.38,$19.88,$16.78
810,Transportation and Material Moving Occupations - Material Moving Workers - Dredge Operators,2021,1650,$24.29,$19.88,$16.78
811,Transportation and Material Moving Occupations - Material Moving Workers - Hoist and Winch Operators,2021,2610,$28.10,$19.88,$16.78
812,Transportation and Material Moving Occupations - Material Moving Workers - Industrial Truck and Tractor Operators,2021,758290,$19.69,$19.88,$16.78
813,Transportation and Material Moving Occupations - Material Moving Workers - Cleaners of Vehicles and Equipment,2021,351960,$14.69,$19.88,$16.78
814,"Transportation and Material Moving Occupations - Material Moving Workers - Laborers and Freight, Stock, and Material Movers, Hand",2021,2729010,$16.80,$19.88,$16.78
815,Transportation and Material Moving Occupations - Material Moving Workers - Machine Feeders and Offbearers,2021,60880,$17.63,$19.88,$16.78
816,"Transportation and Material Moving Occupations - Material Moving Workers - Packers and Packagers, Hand",2021,585270,$14.88,$19.88,$16.78
