Index,Occupation title (click on the occupation title to view its profile),Year,Employment,Average hourly wage,Industry average,Similar occupation average
455,Personal Care and Service Occupations - Funeral Service Workers - Crematory Operators,2021,2040,$19.07,$16.17,$20.58
456,Personal Care and Service Occupations - Funeral Service Workers - Funeral Attendants,2021,32490,$15.21,$16.17,$20.58
457,"Personal Care and Service Occupations - Funeral Service Workers - Morticians, Undertakers, and Funeral Arrangers",2021,24700,$27.10,$16.17,$20.58
458,Personal Care and Service Occupations - Personal Appearance Workers - Barbers,2021,12910,$17.16,$16.17,$16.99
459,"Personal Care and Service Occupations - Personal Appearance Workers - Hairdressers, Hairstylists, and Cosmetologists",2021,285980,$17.30,$16.17,$16.99
460,"Personal Care and Service Occupations - Personal Appearance Workers - Makeup Artists, Theatrical and Performance",2021,1960,$59.80,$16.17,$16.99
461,Personal Care and Service Occupations - Personal Appearance Workers - Manicurists and Pedicurists,2021,120540,$14.65,$16.17,$16.99
462,Personal Care and Service Occupations - Personal Appearance Workers - Shampooers,2021,9560,$12.09,$16.17,$16.99
463,Personal Care and Service Occupations - Personal Appearance Workers - Skincare Specialists,2021,50580,$20.05,$16.17,$16.99
464,Personal Care and Service Occupations - Personal Appearance Workers - Baggage Porters and Bellhops,2021,20530,$14.44,$16.17,$16.99
465,Personal Care and Service Occupations - Personal Appearance Workers - Concierges,2021,33560,$18.04,$16.17,$16.99
466,Personal Care and Service Occupations - Other Personal Care and Service Workers - Childcare Workers,2021,438520,$13.31,$16.17,$15.99
467,Personal Care and Service Occupations - Other Personal Care and Service Workers - Exercise Trainers and Group Fitness Instructors,2021,221600,$22.05,$16.17,$15.99
468,Personal Care and Service Occupations - Other Personal Care and Service Workers - Recreation Workers,2021,264020,$15.39,$16.17,$15.99
469,Personal Care and Service Occupations - Other Personal Care and Service Workers - Residential Advisors,2021,92500,$16.81,$16.17,$15.99
470,"Personal Care and Service Occupations - Other Personal Care and Service Workers - Personal Care and Service Workers, All Other",2021,72030,$14.80,$16.17,$15.99
471,Sales and Related Occupations - First Line Supervisors of Retail Sales Workers - First Line Supervisors of Retail Sales Workers,2021,1143260,$22.54,$22.15,$22.54
472,Sales and Related Occupations - First Line Supervisors of Retail Sales Workers - First Line Supervisors of Non Retail Sales Workers,2021,243920,$44.38,$22.15,$22.54
473,Sales and Related Occupations - Retail Sales Workers - Cashiers,2021,3318020,$12.87,$22.15,$14.45
474,Sales and Related Occupations - Retail Sales Workers - Gambling Change Persons and Booth Cashiers,2021,17150,$14.00,$22.15,$14.45
475,Sales and Related Occupations - Retail Sales Workers - Counter and Rental Clerks,2021,371620,$17.39,$22.15,$14.45
476,Sales and Related Occupations - Retail Sales Workers - Parts Salespersons,2021,265130,$17.75,$22.15,$14.45
477,Sales and Related Occupations - Retail Sales Workers - Retail Salespersons,2021,3693490,$15.35,$22.15,$14.45
478,"Sales and Related Occupations - Sales Representatives, Services - Advertising Sales Agents",2021,96660,$31.99,$22.15,$35.95
479,"Sales and Related Occupations - Sales Representatives, Services - Insurance Sales Agents",2021,422600,$33.34,$22.15,$35.95
480,"Sales and Related Occupations - Sales Representatives, Services - Securities, Commodities, and Financial Services Sales Agents",2021,426870,$44.84,$22.15,$35.95
481,"Sales and Related Occupations - Sales Representatives, Services - Travel Agents",2021,37190,$22.39,$22.15,$35.95
482,"Sales and Related Occupations - Sales Representatives, Services - Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2021,1026390,$34.19,$22.15,$35.95
483,"Sales and Related Occupations - Sales Representatives, Services - Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2021,266160,$49.40,$22.15,$35.95
484,"Sales and Related Occupations - Sales Representatives, Services - Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2021,1242490,$34.81,$22.15,$35.95
485,Sales and Related Occupations - Other Sales and Related Workers - Demonstrators and Product Promoters,2021,40680,$17.78,$22.15,$25.76
486,Sales and Related Occupations - Other Sales and Related Workers - Models,2021,2000,NaN,$22.15,$25.76
487,Sales and Related Occupations - Other Sales and Related Workers - Real Estate Brokers,2021,48460,$41.58,$22.15,$25.76
488,Sales and Related Occupations - Other Sales and Related Workers - Real Estate Sales Agents,2021,175920,$29.56,$22.15,$25.76
489,Sales and Related Occupations - Other Sales and Related Workers - Sales Engineers,2021,59550,$57.03,$22.15,$25.76
490,Sales and Related Occupations - Other Sales and Related Workers - Telemarketers,2021,115130,$14.74,$22.15,$25.76
491,"Sales and Related Occupations - Other Sales and Related Workers - Door to Door Sales Workers, News and Street Vendors, and Related Workers",2021,7860,$16.81,$22.15,$25.76
492,"Sales and Related Occupations - Other Sales and Related Workers - Sales and Related Workers, All Other",2021,235740,$18.67,$22.15,$25.76
493,Office and Administrative Support Occupations - First Line Supervisors of Office and Administrative Support Workers - First Line Supervisors of Office and Administrative Support Workers,2021,1443630,$30.47,$20.88,$30.47
494,"Office and Administrative Support Occupations - Communications Equipment Operators - Switchboard Operators, Including Answering Service",2021,48190,$16.63,$20.88,$16.98
495,Office and Administrative Support Occupations - Communications Equipment Operators - Telephone Operators,2021,3870,$18.93,$20.88,$16.98
496,"Office and Administrative Support Occupations - Communications Equipment Operators - Communications Equipment Operators, All Other",2021,1340,$23.79,$20.88,$16.98
497,Office and Administrative Support Occupations - Financial Clerks - Bill and Account Collectors,2021,212900,$19.85,$20.88,$20.84
498,Office and Administrative Support Occupations - Financial Clerks - Billing and Posting Clerks,2021,429080,$20.55,$20.88,$20.84
499,"Office and Administrative Support Occupations - Financial Clerks - Bookkeeping, Accounting, and Auditing Clerks",2021,1509370,$21.70,$20.88,$20.84
500,Office and Administrative Support Occupations - Financial Clerks - Gambling Cage Workers,2021,11140,$14.79,$20.88,$20.84
501,Office and Administrative Support Occupations - Financial Clerks - Payroll and Timekeeping Clerks,2021,149290,$23.83,$20.88,$20.84
502,Office and Administrative Support Occupations - Financial Clerks - Procurement Clerks,2021,61930,$21.60,$20.88,$20.84
503,Office and Administrative Support Occupations - Financial Clerks - Tellers,2021,364210,$16.79,$20.88,$20.84
